feature_name,group,table,primary_key,dtype,feature_type,description,source,version
user_total_events,user,user_features,user_id,long,continuous,"Total number of events (views, clicks, carts, purchases)",clickstream,v1.0
user_distinct_items,user,user_features,user_id,long,continuous,Number of distinct items interacted with,clickstream,v1.0
user_purchase_count,user,user_features,user_id,long,continuous,Total number of purchases made,transactions,v1.0
user_purchase_rate,user,user_features,user_id,double,continuous,Purchase conversion rate (purchases / total events),derived,v1.0
user_total_spend,user,user_features,user_id,double,continuous,Total amount spent by user,transactions,v1.0
user_total_spend_log,user,user_features,user_id,double,continuous,Log-transformed total spend,derived,v1.0
user_avg_spend,user,user_features,user_id,double,continuous,Average spend per purchase,transactions,v1.0
user_max_spend,user,user_features,user_id,double,continuous,Maximum single purchase amount,transactions,v1.0
user_total_quantity,user,user_features,user_id,long,continuous,Total quantity of items purchased,transactions,v1.0
user_distinct_purchased_items,user,user_features,user_id,long,continuous,Number of distinct items purchased,transactions,v1.0
user_recency_days,user,user_features,user_id,long,continuous,Days since last activity,derived,v1.0
user_tenure_days,user,user_features,user_id,long,continuous,Days between first and last event,derived,v1.0
user_activity_score,user,user_features,user_id,long,continuous,Weighted activity score (events + 5*purchases),derived,v1.0
user_activity_score_norm,user,user_features,user_id,double,continuous,"Normalized activity score [0,1]",derived,v1.0
user_preferred_device,user,user_features,user_id,string,categorical,Most frequently used device,clickstream,v1.0
user_preferred_device_enc,user,user_features,user_id,long,categorical,Label-encoded preferred device,derived,v1.0
user_preferred_category,user,user_features,user_id,string,categorical,Most frequently purchased category,transactions,v1.0
user_preferred_category_enc,user,user_features,user_id,long,categorical,Label-encoded preferred category,derived,v1.0
user_view_count,user,user_features,user_id,long,continuous,Total view events,clickstream,v1.0
user_click_count,user,user_features,user_id,long,continuous,Total click events,clickstream,v1.0
user_cart_count,user,user_features,user_id,long,continuous,Total add-to-cart events,clickstream,v1.0
item_total_interactions,item,item_features,item_id,long,continuous,Total number of interactions with item,clickstream,v1.0
item_unique_users,item,item_features,item_id,long,continuous,Number of unique users who interacted,clickstream,v1.0
item_purchase_count,item,item_features,item_id,long,continuous,Total number of purchases,transactions,v1.0
item_conversion_rate,item,item_features,item_id,double,continuous,Purchase conversion rate (purchases / interactions),derived,v1.0
item_total_quantity_sold,item,item_features,item_id,long,continuous,Total quantity sold,transactions,v1.0
item_total_revenue,item,item_features,item_id,double,continuous,Total revenue generated,transactions,v1.0
item_avg_order_value,item,item_features,item_id,double,continuous,Average order value,transactions,v1.0
item_unique_buyers,item,item_features,item_id,long,continuous,Number of unique buyers,transactions,v1.0
item_avg_rating,item,item_features,item_id,double,continuous,Average customer rating,catalog,v1.0
item_view_count,item,item_features,item_id,long,continuous,Total view events,clickstream,v1.0
item_click_count,item,item_features,item_id,long,continuous,Total click events,clickstream,v1.0
item_cart_count,item,item_features,item_id,long,continuous,Total add-to-cart events,clickstream,v1.0
category,item,item_features,item_id,string,categorical,Product category,catalog,v1.0
item_category_enc,item,item_features,item_id,long,categorical,Label-encoded category,derived,v1.0
brand,item,item_features,item_id,string,categorical,Product brand,catalog,v1.0
item_brand_enc,item,item_features,item_id,long,categorical,Label-encoded brand,derived,v1.0
price,item,item_features,item_id,double,continuous,Item price,catalog,v1.0
item_price_log,item,item_features,item_id,double,continuous,Log-transformed price,derived,v1.0
stock,item,item_features,item_id,long,continuous,Current stock level,catalog,v1.0
item_stock_norm,item,item_features,item_id,double,continuous,"Normalized stock level [0,1]",derived,v1.0
review_count,item,item_features,item_id,long,continuous,Number of reviews,catalog,v1.0
item_review_count_log,item,item_features,item_id,double,continuous,Log-transformed review count,derived,v1.0
popularity_score,item,item_features,item_id,double,continuous,External popularity score,external,v1.0
item_popularity_score_norm,item,item_features,item_id,double,continuous,"Normalized popularity score [0,1]",derived,v1.0
item_avg_sentiment,item,item_features,item_id,double,continuous,Average sentiment score,external,v1.0
trend_score,item,item_features,item_id,double,continuous,Trending score,external,v1.0
item_trend_score_norm,item,item_features,item_id,double,continuous,"Normalized trend score [0,1]",derived,v1.0
item_return_rate,item,item_features,item_id,double,continuous,Product return rate,external,v1.0
ui_total_interactions,user_item,user_item_features,user_id,long,continuous,Total interactions between user and item,clickstream,v1.0
ui_views,user_item,user_item_features,user_id,long,continuous,Number of views,clickstream,v1.0
ui_clicks,user_item,user_item_features,user_id,long,continuous,Number of clicks,clickstream,v1.0
ui_carts,user_item,user_item_features,user_id,long,continuous,Number of add-to-cart events,clickstream,v1.0
ui_purchases_events,user_item,user_item_features,user_id,long,continuous,Number of purchase events,clickstream,v1.0
ui_interaction_score,user_item,user_item_features,user_id,long,continuous,Weighted interaction score,derived,v1.0
ui_interaction_score_norm,user_item,user_item_features,user_id,double,continuous,"Normalized interaction score [0,1]",derived,v1.0
ui_has_purchased,user_item,user_item_features,user_id,long,binary,"Purchase label (0=no, 1=yes)",transactions,v1.0
